iter	RMSE
0	310.8295125
1	308.8889672
2	307.0775377
3	305.392806
4	303.7654376
5	302.1923183
6	300.6973676
7	299.313534
8	297.9938085
9	296.7492691
10	295.5480141
11	294.3927956
12	293.3246975
13	292.3038619
14	291.3336302
15	290.4150548
16	289.5198179
17	288.6541749
18	287.8536478
19	287.090875
20	286.3501925
21	285.6213435
22	284.9633544
23	284.3378561
24	283.6957548
25	283.1152223
26	282.5495171
27	282.0145786
28	281.5159892
29	281.0410463
30	280.5988879
31	280.071891
32	279.5653251
33	279.0696234
34	278.6115615
35	278.1616426
36	277.7465837
37	277.3396267
38	276.9555244
39	276.5968668
40	276.2552924
41	275.8738468
42	275.5450401
43	275.2414594
44	274.9382943
45	274.6613769
46	274.3693459
47	274.1108715
48	273.8587956
49	273.6028866
50	273.3660763
51	273.1235247
52	272.88892
53	272.6763543
54	272.4781467
55	272.2691459
56	272.0806242
57	271.8717903
58	271.6915118
59	271.5251699
60	271.3667943
61	271.1942587
62	271.0413109
63	270.8790054
64	270.7216532
65	270.5687487
66	270.4330436
67	270.293377
68	270.1487577
69	270.0176706
70	269.8950739
71	269.7737663
72	269.6337933
73	269.5341945
74	269.4307644
75	269.3231289
76	269.2192449
77	269.1126338
78	269.0175364
79	268.9122862
80	268.8193795
81	268.7273152
82	268.6245385
83	268.5486937
84	268.4480547
85	268.3572207
86	268.277967
87	268.198894
88	268.0715636
89	267.9864937
90	267.8981668
91	267.8256996
92	267.7428272
93	267.6364747
94	267.5497071
95	267.4722966
96	267.4016248
97	267.3163338
98	267.242042
99	267.1669185
100	267.0981963
101	267.0306323
102	266.9594638
103	266.8912354
104	266.8159142
105	266.7460184
106	266.6769316
107	266.5952934
108	266.5071253
109	266.4438338
110	266.3826164
111	266.310605
112	266.2475852
113	266.184855
114	266.1225829
115	266.0646243
116	266.0112158
117	265.9663493
118	265.918604
119	265.8718604
120	265.8213341
121	265.7551849
122	265.7061256
123	265.6631331
124	265.6220435
125	265.5910573
126	265.5544717
127	265.4935044
128	265.4531056
129	265.4156066
130	265.3805612
131	265.3413662
132	265.2770247
133	265.2374967
134	265.1801061
